,year,day_p,hour_p,min_p,day_e,hour_e,min_e,jd,jd_equi
0,1990,4,17,23,20,21,19,2447896.2243055557,2447971.3881944446
1,1991,3,2,59,21,3,2,2448259.6243055556,2448336.626388889
2,1992,3,15,2,20,8,48,2448625.126388889,2448701.8666666667
3,1993,4,3,4,20,14,41,2448991.6277777776,2449067.1118055554
4,1994,2,5,54,20,20,28,2449354.745833333,2449432.3527777777
5,1995,4,11,5,21,2,14,2449721.9618055555,2449797.5930555556
6,1996,4,7,25,20,8,3,2450086.809027778,2450162.8354166667
7,1997,1,23,16,20,13,55,2450450.4694444444,2450528.079861111
8,1998,4,21,15,20,19,55,2450818.3854166665,2450893.329861111
9,1999,3,13,0,21,1,46,2451182.0416666665,2451258.573611111
10,2000,3,5,18,20,7,35,2451546.720833333,2451623.815972222
11,2001,4,8,57,20,13,31,2451913.872916667,2451989.0631944444
12,2002,2,14,9,20,19,16,2452277.089583333,2452354.302777778
13,2003,4,5,2,21,1,0,2452643.7097222223,2452719.5416666665
14,2004,4,17,42,20,6,49,2453009.2375,2453084.7840277776
15,2005,2,0,35,20,12,34,2453372.5243055555,2453450.023611111
16,2006,4,15,30,20,18,25,2453740.1458333335,2453815.267361111
17,2007,3,19,43,21,0,7,2454104.3215277777,2454180.5048611113
18,2008,2,23,51,20,5,49,2454468.49375,2454545.742361111
19,2009,4,15,30,20,11,44,2454836.1458333335,2454910.988888889
20,2010,3,0,9,20,17,32,2455199.50625,2455276.230555556
21,2011,3,18,32,20,23,21,2455565.2722222223,2455641.472916667
22,2012,5,0,32,20,5,15,2455931.5222222223,2456006.71875
23,2013,2,4,38,20,11,2,2456294.6930555557,2456371.9597222223
24,2014,4,11,59,20,16,57,2456661.9993055556,2456737.20625
25,2015,4,6,36,20,22,45,2457026.775,2457102.4479166665
26,2016,2,22,49,20,4,31,2457390.4506944446,2457467.6881944444
27,2017,4,14,18,20,10,29,2457758.095833333,2457832.9368055556
28,2018,3,5,35,20,16,15,2458121.732638889,2458198.1770833335
29,2019,3,5,20,20,21,58,2458486.722222222,2458563.4152777777
30,2020,5,7,48,20,3,50,2458853.825,2458928.659722222
31,2021,2,13,51,20,9,37,2459217.0770833334,2459293.9006944443
32,2022,4,6,55,20,15,33,2459583.7881944445,2459659.1479166667
33,2023,4,16,17,20,21,25,2459949.1784722223,2460024.392361111
34,2024,3,0,39,20,3,7,2460312.527083333,2460389.6298611113
35,2025,4,13,28,20,9,2,2460680.061111111,2460754.876388889
36,2026,3,17,16,20,14,46,2461044.2194444444,2461120.115277778
37,2027,3,2,33,20,20,25,2461408.60625,2461485.3506944445
38,2028,5,12,28,20,2,17,2461776.019444444,2461850.595138889
39,2029,2,18,13,20,8,1,2462139.2590277777,2462215.834027778
40,2030,3,10,12,20,13,51,2462504.925,2462581.0770833334
41,2031,4,20,48,20,19,41,2462871.3666666667,2462946.320138889
42,2032,3,5,11,20,1,23,2463234.7159722224,2463311.5576388887
43,2033,4,11,51,20,7,23,2463601.99375,2463676.8076388887
44,2034,4,4,47,20,13,18,2463966.699305556,2464042.0541666667
45,2035,3,0,54,20,19,3,2464330.5375,2464407.29375
46,2036,5,14,17,20,1,2,2464698.095138889,2464772.543055556
47,2037,3,4,0,20,6,50,2465061.6666666665,2465137.784722222
48,2038,3,5,1,20,12,40,2465426.709027778,2465503.027777778
49,2039,5,6,41,20,18,32,2465793.7784722224,2465868.2722222223
50,2040,3,11,33,20,0,11,2466156.98125,2466233.507638889
